pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
59,116.674,82.312,31.529,2.755,0
60,112.805,86.288,23.692,2.77,0
61,126.024,95.534,26.831,3.541,0
62,144.765,95.621,44.191,4.757,0
63,105.245,82.766,19.708,2.691,0
64,121.06,92.926,24.903,3.133,0
65,108.634,78.538,26.639,3.306,0
66,108.278,90.112,15.397,2.716,0
67,88.121,70.043,15.314,2.677,0
68,87.546,68.574,16.146,2.753,0
69,91.145,72.093,16.217,2.739,0
70,89.643,70.861,15.884,2.816,0
71,92.715,69.57,20.436,2.646,0
72,90.24,72.093,15.333,2.752,0
73,96.121,70.633,22.007,3.393,0
74,117.82,83.848,31.039,2.802,0
75,102.169,84.009,15.253,2.834,0
76,109.967,85.973,20.005,3.844,0
77,96.794,69.807,24.299,2.632,0
78,119.253,85.456,29.034,4.672,0
79,153.469,107.015,41.598,4.737,0
80,152.067,107.033,40.109,4.795,0
81,149.156,99.499,44.797,4.761,0
82,120.019,96.809,20.357,2.765,0
83,142.297,87.887,49.662,4.642,0
84,142.168,95.535,41.828,4.711,0
85,157.106,113.18,39.063,4.739,0
86,163.859,110.589,48.282,4.843,0
87,170.911,112.197,53.935,4.639,0
88,130.647,95.604,31.915,3.048,0
89,105.418,85.419,17.156,2.714,0
90,125.352,95.868,26.311,3.103,0
91,114.3,80.245,31.325,2.664,0
92,157.187,99.901,54.518,2.664,0
93,191.171,128.669,57.336,5.003,0
94,157.325,110.703,41.479,5.0,0
95,138.668,109.805,23.949,4.784,0
96,142.043,109.784,28.959,3.201,0
97,113.198,82.235,28.082,2.745,0
98,174.4,118.64,50.959,4.703,0
99,171.53,117.16,49.256,4.949,0
100,170.271,121.626,43.798,4.726,0
101,174.61,121.195,48.392,4.802,0
102,178.803,122.652,51.066,4.895,0
103,164.822,117.633,42.265,4.791,0
104,108.029,87.5,17.768,2.671,0
105,94.396,75.721,15.765,2.808,0
106,134.12,82.758,46.841,4.421,0
107,120.483,82.493,34.598,3.267,0
108,120.864,89.274,28.717,2.788,0
109,112.361,90.489,18.885,2.891,0
110,177.432,127.698,44.762,4.836,0
111,169.888,111.928,53.143,4.684,0
112,168.676,114.026,49.43,5.075,0
113,171.145,111.021,54.954,5.069,0
114,126.897,99.529,24.484,2.803,0
115,113.606,92.213,18.554,2.776,0
116,172.139,116.156,51.028,4.735,0
117,183.261,118.946,59.3,4.809,0
118,178.706,118.178,55.426,4.941,0
119,136.981,110.011,23.356,3.495,0
120,114.396,90.258,21.103,2.859,0
121,173.234,116.642,51.605,4.785,0
122,135.482,99.069,32.891,3.391,0
