pair,wall_ms,superpoint_ms,matcher_ms,geometry_ms,degenerate
51,139.776,113.59,21.518,4.585,0
52,141.767,97.287,39.284,5.027,0
53,142.39,114.138,23.317,4.81,0
54,147.274,118.083,24.229,4.838,0
55,150.944,117.043,28.576,5.152,0
56,151.423,102.097,44.358,4.846,0
57,107.597,83.012,19.69,4.803,0
58,116.266,93.484,17.994,4.685,0
59,110.413,85.516,18.391,6.404,0
60,133.168,98.714,22.594,11.759,0
61,143.867,110.222,28.413,5.066,0
62,133.967,97.763,31.475,4.646,0
63,133.186,94.857,33.709,4.526,0
64,107.057,91.14,10.822,5.003,0
65,128.835,102.519,20.99,5.111,0
66,130.74,84.201,41.901,4.55,0
67,121.164,96.634,19.857,4.565,0
68,129.458,108.543,17.342,3.453,0
69,103.631,86.916,13.719,2.868,0
70,138.695,124.169,11.168,3.284,0
71,125.986,86.184,36.806,2.901,0
72,109.042,96.433,9.822,2.734,0
73,137.254,105.267,26.634,5.217,0
74,131.367,109.029,19.499,2.771,0
75,139.706,107.499,29.375,2.745,0
76,125.314,113.462,8.71,3.074,0
77,112.89,100.727,9.298,2.746,0
78,87.524,74.476,10.1,2.88,0
79,85.559,74.252,8.505,2.748,0
80,84.305,74.725,6.808,2.706,0
81,90.117,78.613,8.702,2.709,0
82,84.653,74.417,7.456,2.719,0
83,81.653,71.663,7.103,2.798,0
84,85.429,73.814,8.945,2.61,0
85,83.986,73.728,7.545,2.663,0
86,79.198,68.495,7.897,2.751,0
87,81.893,69.262,9.889,2.689,0
88,81.431,71.523,7.269,2.596,0
89,79.35,69.642,7.074,2.579,0
90,82.277,72.834,6.815,2.578,0
91,85.724,69.0,13.46,3.213,0
92,110.152,75.435,31.814,2.825,0
93,133.194,98.663,29.875,4.544,0
94,133.632,93.116,37.833,2.538,0
95,111.558,87.064,21.909,2.539,0
96,99.044,87.79,8.634,2.579,0
97,123.77,104.306,14.636,4.755,0
98,130.257,101.32,23.893,4.955,0
99,115.561,86.27,26.572,2.655,0
100,129.275,87.338,34.263,4.56,0
101,120.637,95.682,19.364,5.505,0
102,127.925,102.817,20.313,4.716,0
103,148.281,108.564,26.815,12.761,0
104,143.954,98.305,40.367,5.129,0
105,141.431,111.208,25.057,5.061,0
106,136.099,112.066,19.172,4.781,0
107,119.634,92.023,22.392,5.073,0
108,118.745,94.003,19.853,4.805,0
109,127.8,88.406,34.567,4.714,0
110,132.32,108.097,19.478,4.653,0
111,107.288,94.164,9.701,3.327,0
112,96.984,84.616,9.435,2.78,0
113,133.578,104.931,23.647,4.897,0
114,113.434,86.927,23.614,2.832,0
115,129.028,106.988,19.058,2.894,0
116,146.09,118.92,21.979,5.035,0
117,154.382,121.682,26.602,5.974,0
118,143.695,106.464,32.161,4.919,0
119,149.647,102.231,39.506,7.787,0
120,115.259,91.731,18.481,4.953,0
121,110.73,92.983,14.397,3.261,0
122,127.387,86.423,38.167,2.679,0
123,136.811,97.348,31.588,4.689,0
124,125.182,101.403,18.632,5.04,0
125,131.368,109.498,16.814,4.933,0
126,84.408,74.658,7.057,2.623,0
127,104.424,82.825,16.848,4.65,0
128,134.761,94.158,36.283,4.255,0
129,112.876,100.836,9.13,2.861,0
130,106.987,94.296,9.659,2.975,0
131,116.244,78.828,34.724,2.579,0
132,91.698,80.862,8.268,2.53,0
133,110.658,98.91,9.068,2.64,0
134,101.89,83.505,15.112,3.191,0
135,103.363,66.953,33.861,2.41,0
136,102.028,63.26,36.3,2.405,0
137,102.48,63.584,36.476,2.385,0
138,101.459,71.21,27.116,3.045,0
139,97.157,64.704,29.987,2.356,0
140,99.095,64.026,32.611,2.392,0
141,101.764,62.555,36.765,2.38,0
142,101.402,70.519,28.354,2.394,0
143,98.268,61.788,33.954,2.39,0
144,98.314,65.337,30.464,2.38,0
145,100.453,64.346,33.665,2.377,0
146,99.722,65.179,31.887,2.538,0
147,99.161,66.372,30.277,2.385,0
148,100.094,65.718,31.877,2.382,0
149,98.458,65.484,30.464,2.38,0
150,117.659,94.739,18.11,4.732,0
151,109.426,86.318,18.645,4.373,0
152,115.395,90.402,20.281,4.578,0
153,109.56,86.666,18.347,4.441,0
154,113.1,86.535,22.087,4.39,0
155,105.468,81.661,19.068,4.654,0
156,110.826,89.247,16.955,4.519,0
157,108.187,81.802,21.591,4.652,0
158,106.679,81.179,20.657,4.771,0
159,104.383,79.953,19.876,4.492,0
